tier	class	file	line	op	reason	src
T0-consumer	fits	lib/api3/generic/create/insert.js	32	insertOne	maps onto the existing api3 storage interface	const identifier = await col.storage.insertOne(doc);
T0-consumer	fits	lib/api3/generic/delete/operation.js	33	findOne	maps onto the existing api3 storage interface	const result = await col.storage.findOne(identifier);
T0-consumer	fits	lib/api3/generic/delete/operation.js	59	deleteOne	maps onto the existing api3 storage interface	const result = await col.storage.deleteOne(identifier);
T0-consumer	fits	lib/api3/generic/delete/operation.js	86	updateOne	maps onto the existing api3 storage interface	const result = await col.storage.updateOne(identifier, setFields);
T0-consumer	fits	lib/api3/generic/patch/operation.js	85	updateOne	maps onto the existing api3 storage interface	const matchedCount = await col.storage.updateOne(identifier, doc);
T0-consumer	fits	lib/api3/generic/read/operation.js	22	findOne	maps onto the existing api3 storage interface	const result = await col.storage.findOne(req.params.identifier
T0-consumer	fits	lib/api3/generic/update/replace.js	38	replaceOne	maps onto the existing api3 storage interface	const matchedCount = await col.storage.replaceOne(storageDoc.identifier, doc);
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	18	findOne	maps onto the existing api3 storage interface	self.findOne = (...args) => baseStorage.findOne(...args);
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	26	insertOne	maps onto the existing api3 storage interface	const result = await baseStorage.insertOne(doc, { normalize: false });
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	40	replaceOne	maps onto the existing api3 storage interface	const result = await baseStorage.replaceOne(identifier, doc);
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	43	findOne	maps onto the existing api3 storage interface	const rawDocs = await baseStorage.findOne(identifier, null, { normalize: false })
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	52	updateOne	maps onto the existing api3 storage interface	const result = await baseStorage.updateOne(identifier, setFields);
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	55	findOne	maps onto the existing api3 storage interface	const rawDocs = await baseStorage.findOne(identifier, null, { normalize: false })
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	71	findOne	maps onto the existing api3 storage interface	invalidateDocs = await baseStorage.findOne(identifier, { _id: 1 }, { normalize: false })
T0-consumer	fits	lib/api3/storage/mongoCachedCollection/index.js	74	deleteOne	maps onto the existing api3 storage interface	const result = await baseStorage.deleteOne(identifier);
T1-adapter	needs-escape-hatch	lib/api3/storage/mongoCollection/find.js	36	find	bare find — map to findMany	const result = await col.find(filter)
T1-adapter	needs-escape-hatch	lib/api3/storage/mongoCollection/find.js	55	find	bare find — map to findMany	const result = await col.find(filter)
T1-adapter	needs-escape-hatch	lib/api3/storage/mongoCollection/find.js	73	find	bare find — map to findMany	const result = await col.find(filter)
T1-adapter	fits	lib/api3/storage/mongoCollection/modify.js	14	insertOne	maps onto the existing api3 storage interface	const result = await col.insertOne(doc);
T1-adapter	needs-escape-hatch	lib/api3/storage/mongoCollection/modify.js	34	replaceOne	upsert semantics must be explicit in the interface	const result = await col.replaceOne(filter, doc, { upsert: true });
T1-adapter	must-change	lib/api3/storage/mongoCollection/modify.js	49	updateOne	Mongo update operators — needs an explicit patch contract (jsonb_set / - key)	const result = await col.updateOne(filter, { $set: setFields });
T1-adapter	fits	lib/api3/storage/mongoCollection/modify.js	63	deleteOne	maps onto the existing api3 storage interface	const result = await col.deleteOne(filter);
T1-adapter	needs-escape-hatch	lib/api3/storage/mongoCollection/modify.js	75	deleteMany	delete by filter (non-query_for callers)	const result = await col.deleteMany(filter);
T1-interface	fits	lib/api3/storage/mongoCollection/index.js	29	findOne	maps onto the existing api3 storage interface	self.findOne = (...args) => find.findOne(self.col, ...args);
T1-interface	fits	lib/api3/storage/mongoCollection/index.js	35	insertOne	maps onto the existing api3 storage interface	self.insertOne = (...args) => modify.insertOne(self.col, ...args);
T1-interface	fits	lib/api3/storage/mongoCollection/index.js	37	replaceOne	maps onto the existing api3 storage interface	self.replaceOne = (...args) => modify.replaceOne(self.col, ...args);
T1-interface	fits	lib/api3/storage/mongoCollection/index.js	39	updateOne	maps onto the existing api3 storage interface	self.updateOne = (...args) => modify.updateOne(self.col, ...args);
T1-interface	fits	lib/api3/storage/mongoCollection/index.js	41	deleteOne	maps onto the existing api3 storage interface	self.deleteOne = (...args) => modify.deleteOne(self.col, ...args);
T1-interface	must-change	lib/api3/storage/mongoCollection/index.js	65	find	exposes the driver cursor; getLastModified must go through the adapter	const [ result ] = await self.col.find()
T2-v1-domain	needs-escape-hatch	lib/api/entries/index.js	520	aggregate	aggregation pipeline — needs a declared contract, not pass-through	storage.aggregate(query, function payload (err, entries) {
T2-v1-domain	fits	lib/authorization/storage.js	49	insertOne	maps onto the existing api3 storage interface	await collection.insertOne(obj);
T2-v1-domain	must-change	lib/authorization/storage.js	88	find	filter is a Mongo query document built by query.js — must become a neutral filter	.find(query_for(opts))
T2-v1-domain	must-change	lib/authorization/storage.js	100	deleteOne	ObjectId construction — identifier must be opaque to the caller	await collection.deleteOne({ '_id': new ObjectID(_id) });
T2-v1-domain	needs-escape-hatch	lib/authorization/storage.js	122	replaceOne	upsert semantics must be explicit in the interface	await collection.replaceOne({ _id: obj._id }, obj, { upsert: true });
T2-v1-domain	needs-escape-hatch	lib/server/activity.js	54	bulkWrite	batch upsert — Postgres INSERT ... ON CONFLICT	bulkResult = await api().bulkWrite(bulkOps, { ordered: true });
T2-v1-domain	needs-escape-hatch	lib/server/activity.js	91	replaceOne	upsert semantics must be explicit in the interface	await api().replaceOne({ _id: obj._id }, obj, { upsert: true });
T2-v1-domain	must-change	lib/server/activity.js	120	find	filter is a Mongo query document built by query.js — must become a neutral filter	.find(query_for(opts))
T2-v1-domain	fits	lib/server/activity.js	129	deleteOne	maps onto the existing api3 storage interface	return api().deleteOne({ '_id': objId });
T2-v1-domain	needs-escape-hatch	lib/server/aggregate.js	26	aggregate	aggregation pipeline — needs a declared contract, not pass-through	return api().aggregate(groupBy).toArray();
T2-v1-domain	needs-escape-hatch	lib/server/devicestatus.js	70	insertMany	batch insert	insertResult = await api().insertMany(statuses, { ordered: true });
T2-v1-domain	must-change	lib/server/devicestatus.js	129	find	filter is a Mongo query document built by query.js — must become a neutral filter	.find(query_for(opts))
T2-v1-domain	must-change	lib/server/devicestatus.js	138	deleteMany	delete by Mongo query document — same filter problem	var stat = await api().deleteMany(query_for(opts));
T2-v1-domain	must-change	lib/server/entries.js	44	find	filter is a Mongo query document built by query.js — must become a neutral filter	.find(query_for(opts))
T2-v1-domain	must-change	lib/server/entries.js	52	deleteMany	delete by Mongo query document — same filter problem	var stat = await api().deleteMany(query_for(opts));
T2-v1-domain	needs-escape-hatch	lib/server/entries.js	147	bulkWrite	batch upsert — Postgres INSERT ... ON CONFLICT	bulkResult = await api().bulkWrite(bulkOps, { ordered: true });
T2-v1-domain	must-change	lib/server/entries.js	179	findOne	ObjectId construction — identifier must be opaque to the caller	"return api().findOne({ ""_id"": new ObjectId(id) });"
T2-v1-domain	needs-escape-hatch	lib/server/food.js	54	bulkWrite	batch upsert — Postgres INSERT ... ON CONFLICT	bulkResult = await api().bulkWrite(bulkOps, { ordered: true });
T2-v1-domain	needs-escape-hatch	lib/server/food.js	115	bulkWrite	batch upsert — Postgres INSERT ... ON CONFLICT	bulkResult = await api().bulkWrite(bulkOps, { ordered: true });
T2-v1-domain	needs-escape-hatch	lib/server/food.js	140	find	bare find — map to findMany	return api().find({ }).toArray();
T2-v1-domain	must-change	lib/server/food.js	146	find	literal Mongo filter document in domain code	return api().find({ $and: [ { 'type': 'quickpick'} , { 'hidden' : 'false' } ] }).sort({'position': 1}).toArray();
T2-v1-domain	needs-escape-hatch	lib/server/food.js	152	find	bare find — map to findMany	return api().find( { 'type': 'food'} ).toArray();
